Amedeo Modigliani,Expressionism
Vasiliy Kandinskiy,Abstractionism
Vasiliy Kandinskiy,Expressionism
Diego Rivera,Muralism
Diego Rivera,Social Realism
Claude Monet,Impressionism
Rene Magritte,Impressionism
Rene Magritte,Surrealism
Salvador Dali,Surrealism
Edouard Manet,Impressionism
Edouard Manet,Realism
Andrei Rublev,Byzantine Art
Vincent van Gogh,Post-Impressionism
Gustav Klimt,Art Nouveau
Gustav Klimt,Symbolism
Hieronymus Bosch,Northern Renaissance
Kazimir Malevich,Suprematism
Mikhail Vrubel,Symbolism
Pablo Picasso,Cubism
Peter Paul Rubens,Baroque
Pierre-Auguste Renoir,Impressionism
Francisco Goya,Romanticism
Frida Kahlo,Primitivism
Frida Kahlo,Surrealism
El Greco,Mannerism
Albrecht DÃ¼rer,Northern Renaissance
Alfred Sisley,Impressionism
Pieter Bruegel,Northern Renaissance
Marc Chagall,Primitivism
Giotto di Bondone,Proto Renaissance
Sandro Botticelli,Early Renaissance
Caravaggio,Baroque
Leonardo da Vinci,High Renaissance
Diego Velazquez,Baroque
Henri Matisse,Impressionism
Henri Matisse,Post-Impressionism
Jan van Eyck,Northern Renaissance
Edgar Degas,Impressionism
Rembrandt,Baroque
Titian,High Renaissance
Titian,Mannerism
Henri de Toulouse-Lautrec,Post-Impressionism
Gustave Courbet,Realism
Camille Pissarro,Impressionism
Camille Pissarro,Post-Impressionism
William Turner,Romanticism
Edvard Munch,Expressionism
Edvard Munch,Symbolism
Paul Cezanne,Post-Impressionism
Eugene Delacroix,Romanticism
Henri Rousseau,Primitivism
Georges Seurat,Post-Impressionism
Paul Klee,Abstractionism
Paul Klee,Expressionism
Paul Klee,Surrealism
Piet Mondrian,Neoplasticism
Joan Miro,Surrealism
Andy Warhol,Pop Art
Paul Gauguin,Post-Impressionism
Paul Gauguin,Symbolism
Raphael,High Renaissance
Michelangelo,High Renaissance
Jackson Pollock,Abstract Expressionism